TRAINER_AROMA_LADY_TAYLOR, TRAINER_AROMA_LADY_TAYLOR, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END
TRAINER_AROMA_LADY_ELIZABETH, TRAINER_AROMA_LADY_ELIZABETH_2, TRAINER_AROMA_LADY_ELIZABETH_3, VS_SEEKER_REMATCH_DATA_NONE, TRAINER_AROMA_LADY_ELIZABETH_4, VS_SEEKER_REMATCH_DATA_END
TRAINER_AROMA_LADY_HANNAH, TRAINER_AROMA_LADY_HANNAH, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END
TRAINER_ARTIST_WILLIAM, VS_SEEKER_REMATCH_DATA_NONE, TRAINER_ARTIST_KEVIN, TRAINER_ARTIST_KEVIN_2, VS_SEEKER_REMATCH_DATA_NONE, TRAINER_ARTIST_KEVIN_3
TRAINER_BATTLE_GIRL_KELSEY, TRAINER_BATTLE_GIRL_KELSEY, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END
TRAINER_BATTLE_GIRL_HELEN, VS_SEEKER_REMATCH_DATA_NONE, TRAINER_BATTLE_GIRL_HELEN_2, TRAINER_BATTLE_GIRL_HELEN_3, VS_SEEKER_REMATCH_DATA_NONE, TRAINER_BATTLE_GIRL_HELEN_4
TRAINER_BIRD_KEEPER_BRIANNA, VS_SEEKER_REMATCH_DATA_NONE, VS_SEEKER_REMATCH_DATA_NONE, TRAINER_BIRD_KEEPER_BRIANNA_2, VS_SEEKER_REMATCH_DATA_NONE, TRAINER_BIRD_KEEPER_BRIANNA_3
TRAINER_BIRD_KEEPER_ALEXANDRA, TRAINER_BIRD_KEEPER_ALEXANDRA, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END
TRAINER_BIRD_KEEPER_KATHERINE, TRAINER_BIRD_KEEPER_KATHERINE, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END
TRAINER_BIRD_KEEPER_AUDREY, VS_SEEKER_REMATCH_DATA_NONE, VS_SEEKER_REMATCH_DATA_NONE, VS_SEEKER_REMATCH_DATA_NONE, VS_SEEKER_REMATCH_DATA_NONE, TRAINER_BIRD_KEEPER_AUDREY_2
TRAINER_BIRD_KEEPER_GENEVA, TRAINER_BIRD_KEEPER_GENEVA, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END, VS_SEEKER_REMATCH_DATA_END
