0x000E, 0x000E, 0x0000, 0x0000, 0x0000, 0x0000
0x0015, 0x0273, 0x0274, 0xFFFF, 0x0275, 0x0000
0x002C, 0x002C, 0x0000, 0x0000, 0x0000, 0x0000
0x002D, 0xFFFF, 0x0276, 0x0277, 0xFFFF, 0x0278
0x0014, 0x0014, 0x0000, 0x0000, 0x0000, 0x0000
0x0026, 0xFFFF, 0x0279, 0x027A, 0xFFFF, 0x027B
0x004A, 0xFFFF, 0xFFFF, 0x027C, 0xFFFF, 0x027D
0x004C, 0x004C, 0x0000, 0x0000, 0x0000, 0x0000
0x0051, 0x0051, 0x0000, 0x0000, 0x0000, 0x0000
0x022A, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x027E
0x022B, 0x022B, 0x0000, 0x0000, 0x0000, 0x0000
0x002E, 0xFFFF, 0x027F, 0x0280, 0x0281, 0x0000
0x0038, 0x0038, 0x0000, 0x0000, 0x0000, 0x0000
0x002F, 0xFFFF, 0x0282, 0x0283, 0x0284, 0x0000
0x0039, 0x0039, 0x0000, 0x0000, 0x0000, 0x0000
0x0010, 0x0010, 0x0000, 0x0000, 0x0000, 0x0000
0x0022, 0x0022, 0x0000, 0x0000, 0x0000, 0x0000
0x0179, 0x0285, 0x0286, 0xFFFF, 0x0287, 0x0000
0x0084, 0x0084, 0x0000, 0x0000, 0x0000, 0x0000
0x0085, 0x0085, 0x0000, 0x0000, 0x0000, 0x0000
0x008C, 0xFFFF, 0xFFFF, 0xFFFF, 0x0288, 0x0000
0x0086, 0x0086, 0x0000, 0x0000, 0x0000, 0x0000
0x0087, 0x0087, 0x0000, 0x0000, 0x0000, 0x0000
0x008D, 0xFFFF, 0xFFFF, 0xFFFF, 0x0289, 0x0000
0x0057, 0x0057, 0x0000, 0x0000, 0x0000, 0x0000
0x0110, 0x0110, 0x0000, 0x0000, 0x0000, 0x0000
0x0111, 0x0111, 0x0000, 0x0000, 0x0000, 0x0000
0x0112, 0xFFFF, 0xFFFF, 0xFFFF, 0x028A, 0x0000
0x017D, 0x017D, 0x0000, 0x0000, 0x0000, 0x0000
0x017E, 0x017E, 0x0000, 0x0000, 0x0000, 0x0000
0x0030, 0x0030, 0x0000, 0x0000, 0x0000, 0x0000
0x003A, 0xFFFF, 0xFFFF, 0x028B, 0xFFFF, 0x028C
0x0019, 0x0019, 0x0000, 0x0000, 0x0000, 0x0000
0x001A, 0x001A, 0x0000, 0x0000, 0x0000, 0x0000
0x001B, 0xFFFF, 0x028D, 0x028E, 0xFFFF, 0x028F
