bulbasaur,45,49,49,65,65,45,318,64
ivysaur,60,62,63,80,80,60,405,141
venusaur,80,82,83,100,100,80,525,208
charmander,39,52,43,60,50,65,309,65
charmeleon,58,64,58,80,65,80,405,142
charizard,78,84,78,109,85,100,534,209
squirtle,44,48,65,50,64,43,314,66
wartortle,59,63,80,65,80,58,405,143
blastoise,79,83,100,85,105,78,530,210
caterpie,45,30,35,20,20,45,195,53
metapod,50,20,55,25,25,30,205,72
butterfree,60,45,50,80,80,70,385,160
weedle,40,35,30,20,20,50,195,52
kakuna,45,25,50,25,25,35,205,71
beedrill,65,80,40,45,80,75,385,159
pidgey,40,45,40,35,35,56,251,55
pidgeotto,63,60,55,50,50,71,349,113
pidgeot,83,80,75,70,70,91,469,172
rattata,30,56,35,25,35,72,253,57
raticate,55,81,60,50,70,97,413,116
spearow,40,60,30,31,31,70,262,58
fearow,65,90,65,61,61,100,442,162
ekans,35,60,44,40,54,55,288,62
arbok,60,85,69,65,79,80,438,147
pikachu,35,55,30,50,40,90,300,82
raichu,60,90,55,90,80,100,475,122
sandshrew,50,75,85,20,30,40,300,93
sandslash,75,100,110,45,55,65,450,163
nidoran-f,55,47,52,40,40,41,275,59
nidorina,70,62,67,55,55,56,365,117
nidoqueen,90,82,87,75,85,76,495,194
nidoran-m,46,57,40,40,40,50,273,60
nidorino,61,72,57,55,55,65,365,118
nidoking,81,92,77,85,75,85,495,195
clefairy,70,45,48,60,65,35,323,68
clefable,95,70,73,85,90,60,473,129
vulpix,38,41,40,50,65,65,299,63
ninetales,73,76,75,81,100,100,505,178
jigglypuff,115,45,20,45,25,20,270,76
wigglytuff,140,70,45,75,50,45,425,109
zubat,40,45,35,30,40,55,245,54
golbat,75,80,70,65,75,90,455,171
oddish,45,50,55,75,65,30,320,78
gloom,60,65,70,85,75,40,395,132
vileplume,75,80,85,100,90,50,480,184
paras,35,70,55,45,55,25,285,70
parasect,60,95,80,60,80,30,405,128
venonat,60,55,50,40,55,45,305,75
venomoth,70,65,60,90,75,90,450,138
diglett,10,55,25,35,45,95,265,81
dugtrio,35,80,50,50,70,120,405,153
meowth,40,45,35,40,40,90,290,69
persian,65,70,60,65,65,115,440,148
psyduck,50,52,48,65,50,55,320,80
golduck,80,82,78,95,80,85,500,174
mankey,40,80,35,35,45,70,305,74
primeape,65,105,60,60,70,95,455,149
growlithe,55,70,45,70,50,60,350,91
arcanine,90,110,80,100,80,95,555,213
poliwag,40,50,40,40,40,90,300,77
poliwhirl,65,65,65,50,50,90,385,131
poliwrath,90,85,95,70,90,70,500,185
abra,25,20,15,105,55,90,310,73
kadabra,40,35,30,120,70,105,400,145
alakazam,55,50,45,135,85,120,490,186
machop,70,80,50,35,35,35,305,88
machoke,80,100,70,50,60,45,405,146
machamp,90,130,80,65,85,55,505,193
bellsprout,50,75,35,70,30,40,300,84
weepinbell,65,90,50,85,45,55,390,151
victreebel,80,105,65,100,60,70,480,191
tentacool,40,40,35,50,100,70,335,105
tentacruel,80,70,65,80,120,100,515,205
geodude,40,80,100,30,30,20,300,86
graveler,55,95,115,45,45,35,390,134
golem,80,110,130,55,65,45,485,177
ponyta,50,85,55,65,65,90,410,152
rapidash,65,100,70,80,80,105,500,192
slowpoke,90,65,65,40,40,15,315,99
slowbro,95,75,110,100,80,30,490,164
magnemite,25,35,70,95,55,45,325,89
magneton,50,60,95,120,70,70,465,161
farfetchd,52,65,55,58,62,60,352,94
doduo,35,85,45,35,35,75,310,96
dodrio,60,110,70,60,60,100,460,158
seel,65,45,55,45,70,45,325,100
dewgong,90,70,80,70,95,70,475,176
grimer,80,80,50,40,50,25,325,90
muk,105,105,75,65,100,50,500,157
shellder,30,65,100,45,25,40,305,97
cloyster,50,95,180,85,45,70,525,203
gastly,30,35,30,100,35,80,310,95
haunter,45,50,45,115,55,95,405,126
gengar,60,65,60,130,75,110,500,190
onix,35,45,160,30,45,70,385,108
drowzee,60,48,45,43,90,42,328,102
hypno,85,73,70,73,115,67,483,165
krabby,30,105,90,25,25,50,325,115
kingler,55,130,115,50,50,75,475,206
voltorb,40,30,50,55,55,100,330,103
electrode,60,50,70,80,80,140,480,150
exeggcute,60,40,80,60,45,40,325,98
exeggutor,95,95,85,125,65,55,520,212
cubone,50,50,95,40,50,35,320,87
marowak,60,80,110,50,80,45,425,124
hitmonlee,50,120,53,35,110,87,455,139
hitmonchan,50,105,79,35,110,76,455,140
lickitung,90,55,75,60,75,30,385,127
koffing,40,65,95,60,45,35,340,114
weezing,65,90,120,85,70,60,490,173
rhyhorn,80,85,95,30,30,25,345,135
rhydon,105,130,120,45,45,40,485,204
chansey,250,5,5,35,105,50,450,255
tangela,65,55,115,100,40,60,435,166
kangaskhan,105,95,80,40,80,90,490,175
horsea,30,40,70,70,25,60,295,83
seadra,55,65,95,95,45,85,440,155
goldeen,45,67,60,35,50,63,320,111
seaking,80,92,65,65,80,68,450,170
staryu,30,45,55,70,55,85,340,106
